Name,Year,Rating
Boyhood,2014,4.5
Jurassic Park,1993,3.5
The Shawshank Redemption,1994,4.5
District 9,2009,4.0
Toy Story,1995,4.5
The Hobbit: The Desolation of Smaug,2013,3.5
Harry Potter and the Deathly Hallows: Part 2,2011,4.5
Titanic,1997,4.0
Toy Story 2,1999,4.0
The Lord of the Rings: The Fellowship of the Ring,2001,4.5
Star Wars: Episode I – The Phantom Menace,1999,2.0
Moneyball,2011,4.5
First Man,2018,4.0
Star Wars: Episode III – Revenge of the Sith,2005,3.5
Looper,2012,4.0
The Social Network,2010,4.5
Inception,2010,4.5
Prisoners,2013,4.0
Booksmart,2019,4.0
The Lego Movie,2014,4.0
The King's Speech,2010,4.5
127 Hours,2010,4.0
The Revenant,2015,4.0
The Lord of the Rings: The Return of the King,2003,4.5
The Lord of the Rings: The Two Towers,2002,4.5
Gladiator,2000,4.5
Moonrise Kingdom,2012,4.0
Black Panther,2018,4.0
Captain America: The Winter Soldier,2014,4.0
Blade Runner 2049,2017,4.5
The Amazing Spider-Man 2,2014,2.0
The Hunger Games: Catching Fire,2013,3.5
The Hunger Games: Mockingjay – Part 1,2014,3.0
The Hunger Games: Mockingjay – Part 2,2015,3.0
Toy Story 4,2019,4.0
War Dogs,2016,3.0
Guardians of the Galaxy,2014,3.5
Hacksaw Ridge,2016,4.0
Spider-Man: Homecoming,2017,3.5
The Grand Budapest Hotel,2014,4.0
The Hobbit: The Battle of the Five Armies,2014,3.0
Harry Potter and the Philosopher's Stone,2001,3.5
Star Wars: The Force Awakens,2015,4.0
Arrival,2016,4.5
Birdman or (The Unexpected Virtue of Ignorance),2014,4.5
Whiplash,2014,5.0
Jojo Rabbit,2019,4.5
The Royal Tenenbaums,2001,4.0
Annihilation,2018,4.0
Nightcrawler,2014,4.5
John Wick,2014,3.5
Zootopia,2016,4.0
Batman v Superman: Dawn of Justice,2016,2.5
8 Mile,2002,3.5
Harry Potter and the Prisoner of Azkaban,2004,4.0
Creed,2015,4.0
Fantastic Beasts and Where to Find Them,2016,3.5
Little Women,2019,4.5
Sicario,2015,4.0
Captain America: Civil War,2016,4.0
Thor: Ragnarok,2017,3.5
The Disaster Artist,2017,4.0
Memories of Murder,2003,4.0
Iron Man,2008,3.5
Rogue One: A Star Wars Story,2016,3.5
Napoleon Dynamite,2004,3.0
La La Land,2016,5.0
Baby Driver,2017,4.0
Guardians of the Galaxy Vol. 2,2017,4.0
Spider-Man 3,2007,3.0
